Open,Close,High,Low,Volume,Date
1727.822,1727.822,1727.822,1727.822,,12/06/16
1718.102,1718.102,1718.102,1718.102,,12/05/16
1708.939,1708.939,1708.939,1708.939,,12/02/16
1708.641,1708.641,1708.641,1708.641,,12/01/16
1712.089,1712.089,1712.089,1712.089,,11/30/16
1715.424,1715.424,1715.424,1715.424,,11/29/16
1712.983,1712.983,1712.983,1712.983,,11/28/16
1720.842,1720.842,1720.842,1720.842,,11/25/16
1713.27,1713.27,1713.27,1713.27,,11/24/16
1709.713,1709.713,1709.713,1709.713,,11/23/16
1713.069,1713.069,1713.069,1713.069,,11/22/16
1710.491,1710.491,1710.491,1710.491,,11/21/16
1697.346,1697.346,1697.346,1697.346,,11/18/16
1706.98,1706.98,1706.98,1706.98,,11/17/16
1698.414,1698.414,1698.414,1698.414,,11/16/16
1701.823,1701.823,1701.823,1701.823,,11/15/16
1692.305,1692.305,1692.305,1692.305,,11/14/16
1696.987,1696.987,1696.987,1696.987,,11/11/16
1701.286,1701.286,1701.286,1701.286,,11/10/16
1696.459,1696.459,1696.459,1696.459,,11/09/16
1691.742,1691.742,1691.742,1691.742,,11/08/16
1685.619,1685.619,1685.619,1685.619,,11/07/16
1660.122,1660.122,1660.122,1660.122,,11/04/16
1667.03,1667.03,1667.03,1667.03,,11/03/16
1672.826,1672.826,1672.826,1672.826,,11/02/16
1683.956,1683.956,1683.956,1683.956,,11/01/16
1690.922,1690.922,1690.922,1690.922,,10/31/16
1690.96,1690.96,1690.96,1690.96,,10/28/16
1694.661,1694.661,1694.661,1694.661,,10/27/16
1699.917,1699.917,1699.917,1699.917,,10/26/16
1701.198,1701.198,1701.198,1701.198,,10/25/16
1706.24,1706.24,1706.24,1706.24,,10/24/16
1701.158,1701.158,1701.158,1701.158,,10/21/16
1704.042,1704.042,1704.042,1704.042,,10/20/16
1706.743,1706.743,1706.743,1706.743,,10/19/16
1701.099,1701.099,1701.099,1701.099,,10/18/16
1687.844,1687.844,1687.844,1687.844,,10/17/16
1693.714,1693.714,1693.714,1693.714,,10/14/16
1689.619,1689.619,1689.619,1689.619,,10/13/16
1695.539,1695.539,1695.539,1695.539,,10/12/16
1700.326,1700.326,1700.326,1700.326,,10/11/16
1719.287,1719.287,1719.287,1719.287,,10/10/16
1712.396,1712.396,1712.396,1712.396,,10/07/16
1718.4,1718.4,1718.4,1718.4,,10/06/16
1721.139,1721.139,1721.139,1721.139,,10/05/16
1717.82,1717.82,1717.82,1717.82,,10/04/16
1722.824,1722.824,1722.824,1722.824,,10/03/16
1725.665,1725.665,1725.665,1725.665,,09/30/16
1719.77,1719.77,1719.77,1719.77,,09/29/16
1725.631,1725.631,1725.631,1725.631,,09/28/16
1719.881,1719.881,1719.881,1719.881,,09/27/16
1714.854,1714.854,1714.854,1714.854,,09/26/16
