"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2019","497.81","497.38","499.65","491.36","","-0.29%"
"12/06/2019","499.26","492.77","504.49","486.69","","1.32%"
"12/05/2019","492.75","492.75","498.39","490.13","","0.01%"
"12/04/2019","492.72","473.08","494.58","473.08","","4.16%"
"12/03/2019","473.06","471.88","477.78","466.90","","0.25%"
"12/02/2019","471.86","470.67","477.84","469.07","","1.45%"
"11/29/2019","465.13","489.67","490.43","463.87","","-5.05%"
"11/27/2019","489.88","491.14","494.51","484.90","","-0.51%"
"11/26/2019","492.38","489.01","493.56","487.16","","0.69%"
"11/25/2019","488.99","488.91","490.09","482.33","","0.43%"
"11/22/2019","486.91","493.73","495.08","484.63","","-1.38%"
"11/21/2019","493.71","480.14","493.96","477.02","","2.76%"
"11/20/2019","480.46","466.47","483.49","462.51","","3.00%"
"11/19/2019","466.45","480.52","482.04","464.93","","-3.13%"
"11/18/2019","481.51","487.41","490.02","477.47","","-1.18%"
"11/15/2019","487.26","479.26","489.37","476.39","","1.67%"
"11/14/2019","479.24","484.21","487.33","478.23","","-0.55%"
"11/13/2019","481.91","478.07","485.22","474.09","","0.61%"
"11/12/2019","478.99","479.45","485.18","476.94","","-0.09%"
"11/11/2019","479.43","481.55","483.36","474.34","","-0.64%"
"11/08/2019","482.50","480.50","483.50","470.16","","0.17%"
"11/07/2019","481.69","474.95","487.42","474.27","","1.42%"
"11/06/2019","474.93","481.25","487.15","472.90","","-1.53%"
"11/05/2019","482.32","476.51","484.51","474.49","","1.22%"
"11/04/2019","476.49","473.62","483.90","470.59","","0.62%"
"11/01/2019","473.56","456.54","473.81","455.61","","3.73%"
"10/31/2019","456.52","463.01","468.31","452.64","","-1.59%"
"10/30/2019","463.91","467.96","469.47","458.60","","-0.86%"
"10/29/2019","467.94","470.29","470.97","460.18","","-0.48%"
"10/28/2019","470.19","477.35","479.54","468.50","","-1.49%"
"10/25/2019","477.28","473.66","477.62","468.36","","0.77%"
"10/24/2019","473.64","471.45","476.00","466.82","","0.47%"
"10/23/2019","471.43","456.69","472.27","451.72","","2.74%"
"10/22/2019","458.86","450.69","461.55","448.33","","1.82%"
"10/21/2019","450.67","453.70","456.06","445.36","","-0.65%"
"10/18/2019","453.64","454.99","460.54","450.02","","-0.29%"
"10/17/2019","454.97","450.08","455.30","444.10","","1.09%"
"10/16/2019","450.06","445.26","453.01","443.16","","1.08%"
"10/15/2019","445.24","451.73","453.32","441.87","","-1.43%"
"10/14/2019","451.70","461.22","462.31","445.22","","-2.05%"
"10/11/2019","461.15","451.00","462.16","451.00","","2.26%"
"10/10/2019","450.98","440.25","451.68","435.79","","1.82%"
"10/09/2019","442.92","443.16","452.27","440.67","","-0.05%"
"10/08/2019","443.14","445.21","448.44","436.42","","-0.21%"
"10/07/2019","444.08","444.58","455.11","442.73","","-0.10%"
"10/04/2019","444.51","440.89","448.81","438.12","","0.69%"
"10/03/2019","441.46","442.64","445.33","429.26","","-0.36%"
"10/02/2019","443.04","454.82","457.85","439.17","","-1.82%"
"10/01/2019","451.26","455.05","461.44","446.55","","-0.83%"
"09/30/2019","455.03","470.51","472.70","454.35","","-3.28%"
"09/27/2019","470.44","474.14","477.59","460.76","","-0.88%"
"09/26/2019","474.62","476.63","478.23","466.54","","-0.13%"
"09/25/2019","475.26","478.38","479.64","468.11","","-1.39%"
"09/24/2019","481.97","493.32","493.32","478.60","","-2.30%"
"09/23/2019","493.30","488.67","495.23","482.95","","0.96%"
"09/20/2019","488.59","489.43","498.18","487.25","","-0.17%"
"09/19/2019","489.41","488.15","500.17","488.06","","0.26%"
"09/18/2019","488.12","497.03","498.46","484.42","","-1.79%"
"09/17/2019","497.01","519.21","524.42","490.45","","-5.69%"
"09/16/2019","527.00","512.79","530.70","493.36","","14.38%"
"09/13/2019","460.75","463.10","467.51","457.32","","-0.45%"
"09/12/2019","462.81","468.15","473.21","453.58","","-1.14%"
"09/11/2019","468.13","481.89","489.37","466.99","","-2.85%"
"09/10/2019","481.86","487.99","493.10","481.07","","-0.77%"
"09/09/2019","485.60","474.44","488.20","474.44","","2.37%"
"09/06/2019","474.36","472.43","477.88","460.26","","0.40%"
"09/05/2019","472.49","472.15","484.32","467.96","","0.08%"
"09/04/2019","472.13","452.66","474.81","451.82","","4.31%"
"09/03/2019","452.63","462.37","462.37","443.40","","-2.09%"
"08/30/2019","462.27","474.77","475.86","457.82","","-2.83%"
"08/29/2019","475.75","467.95","477.18","465.10","","1.67%"
"08/28/2019","467.92","465.82","475.56","464.48","","1.55%"
"08/27/2019","460.77","449.95","461.27","449.95","","2.41%"
"08/26/2019","449.92","445.31","463.34","445.23","","-0.96%"
"08/23/2019","454.30","464.95","466.29","446.75","","-2.13%"
